UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
198862,294200,2942,Livingstone College,Salisbury,NC,2,845,28312,0.2781,0.4651,28167,4377.390533,801.6236686,4001.759763,0.111111111,0.847222222,0.041666667,0,0,0.486111111,0.513888889,0.085207101,0.861111111,0.138888889,0.152777778,0.569444444,0.180555556,0.097222222,0.263888889,0.319444444,0,0
198899,294400,2944,Mars Hill University,Mars Hill,NC,2,1013,45406,0.3481,0.6679,36444,6799.065777,457.6110582,3449.743565,0.966101695,0.033898305,0,0,0,0.449152542,0.550847458,0.116485686,0.703389831,0.398305085,0.211864407,0.093220339,0.214285714,0.345238095,0.297619048,0.107142857,0.023809524,0
198950,294500,2945,Meredith College,Raleigh,NC,2,1493,50390,0.6369,0.856,40904,7008.892897,1142.510544,1694.644839,0.825242718,0.111650485,0.004854369,0.058252427,0,0.286407767,0.713592233,0.154052244,0.631067961,0.32173913,0.117391304,0.126086957,0.4,0.230769231,0.323076923,0.030769231,0,0.015384615
198969,294600,2946,Methodist University,Fayetteville,NC,2,1419,55751,0.3916,0.5802,38382,7388.64185,487.6091371,2948.738297,0.73245614,0.219298246,0.004385965,0.043859649,0,0.504385965,0.495614035,0.160676533,0.631578947,0.289473684,0.179824561,0.162280702,0.179824561,0.197368421,0.184210526,0.070175439,0,0
199032,294800,2948,Montreat College,Montreat,NC,2,823,40841,0.3398,0.6826,38333,3187.329474,746.9021053,2847.951579,0.812182741,0.091370558,0.020304569,0.076142132,0,0.588832487,0.411167513,0.239368165,0.192893401,0.086294416,0.015228426,0.091370558,0.065989848,0.040609137,0.086294416,0,0,0
199069,294900,2949,University of Mount Olive,Mount Olive,NC,2,2154,32055,0.4561,0.6528,39547,2748.475946,937.9771293,1807.144322,0.814814815,0.12345679,0.012345679,0.049382716,0,0.49382716,0.50617284,0.075208914,0.432098765,0,0,0.432098765,0.2,0.342857143,0.428571429,0.028571429,0,0
199102,290500,2905,North Carolina A & T State University,Greensboro,NC,1,10798,18348,0.5208,0.7963,37499,4863.329726,1202.713558,1694.113307,0.224675325,0.638961039,0.001298701,0.1,0.035064935,0.502597403,0.497402597,0.073346916,0.614285714,0.309343434,0.194444444,0.097222222,0.144329897,0.221649485,0.154639175,0.006443299,0.030927835,0.051546392
199111,290700,2907,University of North Carolina at Asheville,Asheville,NC,1,3206,20127,0.6242,0.7599,38015,6572.934285,633.4644663,2634.855784,0.783606557,0.121311475,0.003278689,0.039344262,0.052459016,0.524590164,0.475409836,0.095134124,0.73442623,0.4,0.13442623,0.2,0.22295082,0.186885246,0.144262295,0.003278689,0.17704918,0
199120,297400,2974,University of North Carolina at Chapel Hill,Chapel Hill,NC,1,19261,24220,0.9074,0.9513,57004,16566.40815,2374.358301,13307.75286,0.736065574,0.187295082,0.011065574,0.037295082,0.028278689,0.513934426,0.486065574,0.277140335,0.782786885,0.259647808,0.079992507,0.36998876,0.160113587,0.111839231,0.087155963,0.010266492,0.046745304,0.00109218
199139,297500,2975,University of North Carolina at Charlotte,Charlotte,NC,1,23852,23478,0.6518,0.8472,46904,5909.961255,919.5560273,1661.832814,0.68043202,0.234434562,0.006988564,0.025412961,0.052731893,0.4841169,0.5158831,0.067834982,0.695679797,0.331273177,0.126081582,0.224351051,0.188762626,0.184343434,0.164772727,0,0.152777778,0.000631313
